"NOM_RBD","RBD","REGION_RBD","MATRICULADOS","PTJE_PROM","POSTULANTES","EGRESADOS_2024","PCNTJE_EGRESADOS_2024","POSTULANTES_UAI","PCNTJE_POSTULANTES_UAI","TOTAL_MUJERES_POST","PCNTJE_MUJERES_POST","POST_MUJERES_UAI","PCNTJE_POST_MUJERES_UAI","MATRICULADOS_UAI","PCNTJE_MATRICULADOS_UAI","TOTAL_MUJERES_MATRI","PCNTJE_MUJERES_MATRI","MATRI_MUJERES_UAI","PCNTJE_MATRI_MUJERES_UAI","Grupo.1..1.3.","Grupo.2..4.6.","Grupo.3..7.9.","Grupo.4..No.responde.","Otro","POST_COMPETENCIA1","PCNTJE_POST_COMPETENCIA1","POST_COMPETENCIA2","PCNTJE_POST_COMPETENCIA2","MATRI_COMPETENCIA1","PCNTJE_MATRI_COMPETENCIA1","MATRI_COMPETENCIA2","PCNTJE_MATRI_COMPETENCIA2","POST_UAI_FILTRADO","PCNTJE_POST_UAI_FILTRADO","POST_COMERCIAL","PCNTJE_COMERCIAL_POST","POST_COMERCIAL_UAI","PCNTJE_COMERCIAL_UAI_POST","POST_COMERCIAL_COMPT1","PCNTJE_COMERCIAL_COMPT1_POST","POST_COMERCIAL_COMPT2","PCNTJE_COMERCIAL_COMPT2_POST","POST_ING_CIVIL","PCNTJE_ING_CIVIL_POST","POST_ING_CIVIL_UAI","PCNTJE_ING_CIVIL_UAI_POST","POST_ING_CIVIL_COMPT1","PCNTJE_ING_CIVIL_COMPT1_POST","POST_ING_CIVIL_COMPT2","PCNTJE_ING_CIVIL_COMPT2_POST","POST_DERECHO","PCNTJE_DERECHO_POST","POST_DERECHO_UAI","PCNTJE_DERECHO_UAI_POST","POST_DERECHO_COMPT1","PCNTJE_DERECHO_COMPT1_POST","POST_DERECHO_COMPT2","PCNTJE_DERECHO_COMPT2_POST","POST_PSICOLOGIA","PCNTJE_PSICOLOGIA_POST","POST_PSICOLOGIA_UAI","PCNTJE_PSICOLOGIA_UAI_POST","POST_PSICOLOGIA_COMPT1","PCNTJE_PSICOLOGIA_COMPT1_POST","POST_PSICOLOGIA_COMPT2","PCNTJE_PSICOLOGIA_COMPT2_POST","POST_PERIODISMO","PCNTJE_PERIODISMO_POST","POST_PERIODISMO_UAI","PCNTJE_PERIODISMO_UAI_POST","POST_PERIODISMO_COMPT1","PCNTJE_PERIODISMO_COMPT1_POST","POST_PERIODISMO_COMPT2","PCNTJE_PERIODISMO_COMPT2_POST","POST_COMPT1_FILTRADO","PCNTJE_COMPT1_POST_FILTRADO","POST_COMPT2_FILTRADO","PCNTJE_COMPT2_POST_FILTRADO","MATRI_UAI_FILTRADO","PCNTJE_MATRI_UAI_FILTRADO","MATRI_COMERCIAL","PCNTJE_COMERCIAL_MATRI","MATRI_COMERCIAL_UAI","PCNTJE_COMERCIAL_UAI_MATRI","MATRI_COMERCIAL_COMPT1","PCNTJE_COMERCIAL_COMPT1_MATRI","MATRI_COMERCIAL_COMPT2","PCNTJE_COMERCIAL_COMPT2_MATRI","MATRI_ING_CIVIL","PCNTJE_ING_CIVIL_MATRI","MATRI_ING_CIVIL_UAI","PCNTJE_ING_CIVIL_UAI_MATRI","MATRI_ING_CIVIL_COMPT1","PCNTJE_ING_CIVIL_COMPT1_MATRI","MATRI_ING_CIVIL_COMPT2","PCNTJE_ING_CIVIL_COMPT2_MATRI","MATRI_DERECHO","PCNTJE_DERECHO_MATRI","MATRI_DERECHO_UAI","PCNTJE_DERECHO_UAI_MATRI","MATRI_DERECHO_COMPT1","PCNTJE_DERECHO_COMPT1_MATRI","MATRI_DERECHO_COMPT2","PCNTJE_DERECHO_COMPT2_MATRI","MATRI_PSICOLOGIA","PCNTJE_PSICOLOGIA_MATRI","MATRI_PSICOLOGIA_UAI","PCNTJE_PSICOLOGIA_UAI_MATRI","MATRI_PSICOLOGIA_COMPT1","PCNTJE_PSICOLOGIA_COMPT1_MATRI","MATRI_PSICOLOGIA_COMPT2","PCNTJE_PSICOLOGIA_COMPT2_MATRI","MATRI_PERIODISMO","PCNTJE_PERIODISMO_MATRI","MATRI_PERIODISMO_UAI","PCNTJE_PERIODISMO_UAI_MATRI","MATRI_PERIODISMO_COMPT1","PCNTJE_PERIODISMO_COMPT1_MATRI","MATRI_PERIODISMO_COMPT2","PCNTJE_PERIODISMO_COMPT2_MATRI","MATRI_COMPT1_FILTRADO","PCNTJE_COMPT1_MATRI_FILTRADO","MATRI_COMPT2_FILTRADO","PCNTJE_COMPT2_MATRI_FILTRADO","LATITUD","LONGITUD","locacion","cluster_carreras_general","cluster_vero_sf_post","cluster_vero_sf_matri","cluster_comercial_post_c5","cluster_civil_post_c2","cluster_derecho_post","cluster_derecho_matri","cluster_psicologia_post","cluster_psicologia_matri","cluster_periodismo_post","cluster_periodismo_matri","DIRECCION","COMUNA","PROVINCIA","NUMERO","REFERENCIA"
"COLEGIO LUTERANO",24338,12,23,"698,10652173913",36,0,0,0,"0",18,"50",0,"0",0,"0",15,"65,22",0,"0",3,5,6,9,0,9,"25",5,"13,89",2,"8,7",1,"4,35",0,"0",7,"19,44",0,0,1,"2,78",7,"19,44",14,"38,89",0,0,2,"5,56",7,"19,44",3,"8,33",0,"0",0,"0",7,"19,44",6,"16,67",0,0,2,"5,56",7,"19,44",0,"0",0,"0",0,"0",7,"19,44",5,"13,89",0,"0",0,"0",1,"4,35",0,0,0,"0",1,"4,35",2,"8,7",0,0,0,"0",1,"4,35",0,"0",0,"0",0,"0",1,"4,35",1,"4,35",0,0,0,"0",1,"4,35",0,"0",0,"0",0,"0",1,"4,35",0,"0",0,"0",-53.138641,-70.896843,"-53.138641,-70.896843",3,3,4,0,0,2,4,3,6,5,1,"JOSE DAVET","PUNTA ARENAS","MAGALLANES",1050,"ENRIQUE ABELLO CON JOSE DAVET"
"COLEGIO LUTERANO CONCORDIA",1582,5,22,"688,027272727273",35,0,0,0,"0",17,"48,57",0,"0",0,"0",7,"31,82",0,"0",9,4,3,6,0,25,"71,43",7,"20",12,"54,55",1,"4,55",0,"0",1,"2,86",0,0,1,"2,86",10,"28,57",28,"80",0,0,27,"77,14",10,"28,57",11,"31,43",0,"0",4,"11,43",10,"28,57",7,"20",0,0,5,"14,29",10,"28,57",1,"2,86",0,"0",1,"2,86",10,"28,57",38,"108,57",0,"0",0,"0",0,"0",0,0,0,"0",1,"4,55",5,"22,73",0,0,5,"22,73",1,"4,55",0,"0",0,"0",0,"0",1,"4,55",0,"0",0,0,0,"0",1,"4,55",0,"0",0,"0",0,"0",1,"4,55",5,"22,73",0,"0",-33.0346331,-71.6411296," A UNA CUADRA DE CALLE PACIFICO Y CERCA LA LA CAPILLA MEDALLA MILAGROSA"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-33.034611",1,4,1,0,0,1,4,2,6,1,2,"LOS PELLINES","VALPARAÃSO","VALPARAÃSO",71,"PLAYA ANCHA, A UNA CUADRA DE CALLE PACIFICO Y CERCA LA LA CAPILLA MEDALLA MILAGROSA"
"COLEGIO MADRE ADMIRABLE DE SCHOENSTATT",5669,9,21,"720,77380952381",49,0,0,0,"0",49,"100",0,"0",0,"0",21,"100",0,"0",8,8,2,3,0,2,"4,08",0,"0",0,"0",0,"0",0,"0",3,"6,12",0,0,0,"0",0,"0",35,"71,43",0,0,2,"4,08",0,"0",6,"12,24",0,"0",0,"0",0,"0",15,"30,61",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",2,"4,08",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",3,"14,29",0,0,0,"0",0,"0",2,"9,52",0,"0",0,"0",0,"0",1,"4,76",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-38.73103,-72.575058,"-38.73103,-72.575058",6,3,4,0,0,2,4,4,6,2,1,"TUCAPEL","TEMUCO","CAUTÃN NORTE",1777,"DOS CUADRAS AL NORTE DE ESTACIÃN DE FERROCARRILES"
"COLEGIO MADRE DE JESUS",24903,13,39,"730,491025641026",72,0,0,1,"1,39",43,"59,72",1,"2,33",0,"0",21,"53,85",0,"0",14,10,5,9,1,51,"70,83",6,"8,33",17,"43,59",1,"2,56",1,"1,39",0,"0",0,0,0,"0",0,"0",19,"26,39",0,0,12,"16,67",0,"0",17,"23,61",1,"1,39",5,"6,94",0,"0",4,"5,56",0,0,0,"0",0,"0",20,"27,78",0,"0",5,"6,94",0,"0",22,"30,56",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",4,"10,26",0,0,2,"5,13",0,"0",4,"10,26",0,"0",2,"5,13",0,"0",0,"0",0,0,0,"0",0,"0",4,"10,26",0,"0",1,"2,56",0,"0",5,"12,82",0,"0",-33.56699,-70.785378,"-33.56699,-70.785378",4,4,1,0,0,2,1,4,6,2,3,"PRIMERA AVENIDA","PADRE HURTADO","TALAGANTE",1700,""
"COLEGIO MADRE DE LA DIVINA PROVIDENC",25693,13,30,"721,643333333333",51,0,0,6,"11,76",32,"62,75",3,"9,38",0,"0",17,"56,67",0,"0",3,4,5,15,3,42,"82,35",11,"21,57",9,"30",1,"3,33",1,"1,96",7,"13,73",0,0,4,"7,84",1,"1,96",12,"23,53",0,0,10,"19,61",1,"1,96",9,"17,65",1,"1,96",2,"3,92",2,"3,92",5,"9,8",0,0,0,"0",1,"1,96",0,"0",0,"0",0,"0",1,"1,96",16,"31,37",1,"1,96",0,"0",0,"0",0,0,0,"0",0,"0",1,"3,33",0,0,0,"0",0,"0",2,"6,67",0,"0",0,"0",0,"0",3,"10",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-33.482319,-70.598052,"-33.482319,-70.598052",3,5,1,0,0,2,4,4,6,2,1,"LOS PLATANOS","MACUL","SANTIAGO ORIENTE",3245,""
"COLEGIO MADRE ISABEL LARRAÑAGA",40406,10,18,"629,313888888889",41,0,0,1,"2,44",27,"65,85",0,"0",0,"0",11,"61,11",0,"0",5,2,7,4,0,5,"12,2",5,"12,2",0,"0",0,"0",0,"0",1,"2,44",0,0,0,"0",5,"12,2",6,"14,63",0,0,0,"0",5,"12,2",18,"43,9",0,"0",0,"0",8,"19,51",6,"14,63",0,0,0,"0",5,"12,2",1,"2,44",0,"0",0,"0",5,"12,2",0,"0",3,"7,32",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",3,"16,67",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",NA,NA,",",3,2,4,0,0,4,2,3,2,5,2,"","","",NA,""
"COLEGIO MADRE PAULINA",17765,8,58,"705,528448275862",97,0,0,0,"0",63,"64,95",0,"0",0,"0",39,"67,24",0,"0",23,14,10,10,1,2,"2,06",12,"12,37",2,"3,45",4,"6,9",0,"0",5,"5,15",0,0,0,"0",0,"0",48,"49,48",0,0,0,"0",0,"0",18,"18,56",0,"0",0,"0",3,"3,09",17,"17,53",0,0,0,"0",0,"0",2,"2,06",0,"0",0,"0",0,"0",0,"0",3,"3,09",0,"0",1,"1,72",0,0,0,"0",0,"0",5,"8,62",0,0,0,"0",0,"0",3,"5,17",0,"0",0,"0",1,"1,72",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"1,72",-36.93927,-73.010696,"-36.93927,-73.010696",3,3,4,0,0,2,4,3,6,5,1,"CALLE BERNARDO O'HIGGINS","CHIGUAYANTE","CONCEPCIÃN",5433,"FRENTE A LA ESTACIÃN DE BIOTREN MANQUIMÃVIDA"
"COLEGIO MAESE DA VINCI",14487,5,33,"698,436363636364",57,0,0,1,"1,75",31,"54,39",0,"0",0,"0",19,"57,58",0,"0",12,8,0,13,0,45,"78,95",29,"50,88",12,"36,36",4,"12,12",0,"0",7,"12,28",0,0,7,"12,28",36,"63,16",17,"29,82",0,0,13,"22,81",36,"63,16",15,"26,32",0,"0",6,"10,53",36,"63,16",15,"26,32",0,0,12,"21,05",36,"63,16",2,"3,51",0,"0",2,"3,51",36,"63,16",40,"70,18",0,"0",0,"0",2,"6,06",0,0,2,"6,06",4,"12,12",2,"6,06",0,0,1,"3,03",4,"12,12",2,"6,06",0,"0",1,"3,03",4,"12,12",1,"3,03",0,0,0,"0",4,"12,12",1,"3,03",0,"0",1,"3,03",4,"12,12",5,"15,15",0,"0",-32.4570163,-71.2492209," LUEGO SEGUIR DERECHO HASTA EL ALMACÃN `LA ESQUINA`DOBLAR A LA DERECHA Y SEGUIR HASTA EL FINAL DE LA CALLE"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-32.45676",6,5,1,0,0,7,5,2,7,1,3,"LOS MAQUIS","LA LIGUA","QUILLOTA",1621,"DOBLAR A MANO DERECHA EN LA PRIMERA CALLE DESPUÃS DE LA ESTACIÃN DE SERVICIO SHELL, LUEGO SEGUIR DERECHO HASTA EL ALMACÃN `LA ESQUINA`DOBLAR A LA DERECHA Y SEGUIR HASTA EL FINAL DE LA CALLE"
"COLEGIO MAGISTER",15682,6,8,"704,43125",22,0,0,0,"0",6,"27,27",0,"0",0,"0",3,"37,5",0,"0",2,0,1,5,0,5,"22,73",0,"0",1,"12,5",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",8,"36,36",0,0,3,"13,64",0,"0",3,"13,64",0,"0",0,"0",0,"0",3,"13,64",0,0,1,"4,55",0,"0",0,"0",0,"0",0,"0",0,"0",4,"18,18",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",-34.169369,-70.71534,"-34.169369,-70.71534",3,3,4,0,0,2,4,3,6,5,1,"EINSTEIN NORTE","RANCAGUA","CACHAPOAL",195,"PASADO ROTONDA ALAMEDA UNA CUADRA HACIA EL ORIENTE POR EL FRENTE UBICAR BARRACA O`HIGGINS UNA CUADRA HACIA EL SUR"
"COLEGIO MAHATMA GANDHI",40295,1,27,"649,348148148148",60,0,0,1,"1,67",45,"75",0,"0",0,"0",22,"81,48",0,"0",8,5,8,4,2,13,"21,67",6,"10",1,"3,7",2,"7,41",0,"0",2,"3,33",0,0,1,"1,67",4,"6,67",18,"30",0,0,8,"13,33",4,"6,67",8,"13,33",0,"0",0,"0",4,"6,67",8,"13,33",0,0,3,"5",4,"6,67",1,"1,67",0,"0",1,"1,67",4,"6,67",13,"21,67",0,"0",0,"0",1,"3,7",0,0,0,"0",2,"7,41",1,"3,7",0,0,0,"0",2,"7,41",2,"7,41",0,"0",0,"0",2,"7,41",1,"3,7",0,0,0,"0",2,"7,41",0,"0",0,"0",0,"0",2,"7,41",0,"0",0,"0",-20.285749,-70.125389,"-20.285749,-70.125389",3,2,4,0,0,4,2,3,2,5,2,"FREDDY WOOD","IQUIQUE","IQUIQUE",5205,"SECTOR BAJO MOLLE."
"COLEGIO MAIMONIDES SCHOOL",25107,13,11,"812,490909090909",15,0,0,9,"60",5,"33,33",1,"20",3,"27,27",2,"18,18",0,"0",0,0,1,7,3,10,"66,67",12,"80",3,"27,27",4,"36,36",4,"26,67",0,"0",0,0,0,"0",0,"0",1,"6,67",0,0,1,"6,67",0,"0",8,"53,33",4,"26,67",1,"6,67",2,"13,33",1,"6,67",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",2,"13,33",2,"13,33",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"9,09",0,"0",0,"0",1,"9,09",1,"9,09",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"9,09",-33.362086,-70.48499,"-33.362086,-70.48499",2,1,2,0,1,6,3,4,4,2,4,"PASTOR FERNANDEZ","LO BARNECHEA","SANTIAGO ORIENTE",15996,"PASTOR FERNÃNDEZ ESQUINA LA PUNTILLA"
"COLEGIO MAIPO",10457,13,24,"694,557083333333",47,0,0,1,"2,13",31,"65,96",0,"0",0,"0",15,"62,5",0,"0",12,1,5,6,0,28,"59,57",4,"8,51",8,"33,33",0,"0",0,"0",1,"2,13",0,0,0,"0",0,"0",4,"8,51",0,0,0,"0",0,"0",22,"46,81",0,"0",11,"23,4",0,"0",2,"4,26",0,0,0,"0",0,"0",1,"2,13",0,"0",1,"2,13",0,"0",12,"25,53",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"4,17",0,0,0,"0",0,"0",3,"12,5",0,"0",2,"8,33",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",2,"8,33",0,"0",-33.6162109,-70.5791027," IR POR CONCHA Y TORO Y DOBLAR EN SARGENTO MENADIER HACIA EL OESTE."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",-33.616267",3,4,1,0,0,1,1,3,6,5,1,"RAMON NUNEZ","PUENTE ALTO","CORDILLERA",266,"POBLACION MAIPO, IR POR CONCHA Y TORO Y DOBLAR EN SARGENTO MENADIER HACIA EL OESTE."
"COLEGIO MAITENES",24699,13,25,"799,114",37,0,0,13,"35,14",17,"45,95",4,"23,53",4,"16",11,"44",1,"9,09",2,2,6,6,9,24,"64,86",27,"72,97",13,"52",3,"12",3,"8,11",1,"2,7",0,0,0,"0",1,"2,7",3,"8,11",0,0,3,"8,11",1,"2,7",15,"40,54",2,"5,41",4,"10,81",9,"24,32",0,"0",0,0,0,"0",1,"2,7",4,"10,81",1,"2,7",2,"5,41",2,"5,41",9,"24,32",9,"24,32",0,"0",0,"0",0,0,0,"0",0,"0",1,"4",0,0,1,"4",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"4",0,"0",-33.65852,-71.22885,"-33.65852,-71.22885",2,1,2,0,1,5,3,4,4,3,4,"LOTEO MAITENES","MELIPILLA","TALAGANTE",0,""
"COLEGIO MANANTIAL",13551,4,14,"686,803571428571",33,0,0,1,"3,03",24,"72,73",1,"4,17",0,"0",9,"64,29",0,"0",8,3,1,2,0,5,"15,15",3,"9,09",0,"0",0,"0",0,"0",2,"6,06",0,0,0,"0",5,"15,15",10,"30,3",0,0,2,"6,06",5,"15,15",8,"24,24",0,"0",2,"6,06",5,"15,15",3,"9,09",0,0,0,"0",5,"15,15",3,"9,09",0,"0",0,"0",5,"15,15",4,"12,12",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",2,"14,29",0,0,0,"0",0,"0",2,"14,29",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",2,"14,29",0,"0",0,"0",0,"0",0,"0",0,"0",-32.9993477,-71.5019474,"ROTONDA GLORIAS NAVALES,CAMINO INTERNACIONAL",3,2,4,0,0,4,4,3,2,5,2,"RIO RINIHUE","VIÃA DEL MAR","VALPARAÃSO",801,"BOSQUES DE SANTA JULIA, ROTONDA GLORIAS NAVALES,CAMINO INTERNACIONAL ,DIRECCIÃN AL  ORIENTE,DETRÃS DE SODIMAC REÃACA ALTO,CALLE LAS MARAVILLAS,BOSQUES DE STA. JULIA"
"COLEGIO MANANTIAL",14490,5,36,"672,941666666667",64,0,0,2,"3,12",36,"56,25",1,"2,78",0,"0",20,"55,56",0,"0",15,3,9,9,0,41,"64,06",29,"45,31",15,"41,67",12,"33,33",1,"1,56",10,"15,62",0,0,7,"10,94",44,"68,75",61,"95,31",0,0,54,"84,38",44,"68,75",12,"18,75",0,"0",5,"7,81",44,"68,75",9,"14,06",0,0,6,"9,38",44,"68,75",5,"7,81",1,"1,56",4,"6,25",44,"68,75",76,"118,75",0,"0",0,"0",1,"2,78",0,0,1,"2,78",12,"33,33",6,"16,67",0,0,6,"16,67",12,"33,33",2,"5,56",0,"0",0,"0",12,"33,33",3,"8,33",0,0,1,"2,78",12,"33,33",0,"0",0,"0",0,"0",12,"33,33",8,"22,22",0,"0",-32.9993477,-71.5019474,"ROTONDA GLORIAS NAVALES,CAMINO INTERNACIONAL",1,5,3,0,0,7,5,1,1,1,6,"RIO RINIHUE","VIÃA DEL MAR","VALPARAÃSO",801,"BOSQUES DE SANTA JULIA, ROTONDA GLORIAS NAVALES,CAMINO INTERNACIONAL ,DIRECCIÃN AL  ORIENTE,DETRÃS DE SODIMAC REÃACA ALTO,CALLE LAS MARAVILLAS,BOSQUES DE STA. JULIA"
"COLEGIO MANANTIAL DE SAN MIGUEL",25894,13,33,"693,751515151515",48,0,0,2,"4,17",24,"50",1,"4,17",0,"0",16,"48,48",0,"0",5,4,11,12,1,29,"60,42",8,"16,67",7,"21,21",3,"9,09",0,"0",4,"8,33",0,0,0,"0",0,"0",8,"16,67",0,0,6,"12,5",0,"0",15,"31,25",0,"0",5,"10,42",0,"0",1,"2,08",0,0,0,"0",0,"0",1,"2,08",0,"0",1,"2,08",0,"0",12,"25",0,"0",0,"0",2,"6,06",0,0,0,"0",0,"0",1,"3,03",0,0,1,"3,03",0,"0",2,"6,06",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"3,03",0,"0",-33.510933,-70.663516,"-33.510933,-70.663516",3,4,4,0,0,1,4,3,6,5,1,"NOVENA AVENIDA","SAN MIGUEL","SANTIAGO CENTRO",1386,"PARADERO 16 Y MEDIO DE GRAN AVENIDA AL OESTE"
"COLEGIO MANANTIALES DE ELQUI",13565,4,21,"694,55",41,0,0,0,"0",21,"51,22",0,"0",0,"0",8,"38,1",0,"0",12,5,1,3,0,7,"17,07",0,"0",0,"0",0,"0",0,"0",1,"2,44",0,0,0,"0",0,"0",1,"2,44",0,0,0,"0",0,"0",13,"31,71",0,"0",1,"2,44",0,"0",0,"0",0,0,0,"0",0,"0",1,"2,44",0,"0",0,"0",0,"0",1,"2,44",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",0,"0",0,0,0,"0",0,"0",3,"14,29",0,"0",0,"0",0,"0",0,"0",0,0,0,"0",0,"0",1,"4,76",0,"0",0,"0",0,"0",0,"0",0,"0",-29.88298,-71.250931,"-29.88298,-71.250931",3,2,4,0,0,2,4,3,6,5,1,"BRILLADOR","LA SERENA","ELQUI",345,"ARCOS DE PINAMAR"
"COLEGIO MANQUECURA ÑUÑOA",9259,13,79,"755,359746835443",117,0,0,20,"17,09",65,"55,56",6,"9,23",6,"7,59",45,"56,96",2,"4,44",16,11,25,14,13,89,"76,07",42,"35,9",32,"40,51",8,"10,13",8,"6,84",8,"6,84",0,0,4,"3,42",3,"2,56",34,"29,06",0,0,24,"20,51",3,"2,56",52,"44,44",7,"5,98",26,"22,22",8,"6,84",3,"2,56",0,0,0,"0",3,"2,56",5,"4,27",1,"0,85",1,"0,85",4,"3,42",55,"47,01",6,"5,13",3,"3,8",1,"1,27",0,0,1,"1,27",1,"1,27",4,"5,06",0,0,4,"5,06",1,"1,27",6,"7,59",2,"2,53",1,"1,27",1,"1,27",0,"0",0,0,0,"0",1,"1,27",1,"1,27",1,"1,27",0,"0",1,"1,27",6,"7,59",0,"0",NA,NA,",",2,5,1,0,4,5,3,4,4,2,4,"","","",NA,""
"COLEGIO MANQUEMAVIDA",15664,6,63,"711,503968253968",130,0,0,4,"3,08",89,"68,46",2,"2,25",1,"1,59",38,"60,32",0,"0",27,6,10,18,2,77,"59,23",20,"15,38",13,"20,63",4,"6,35",0,"0",6,"4,62",0,0,3,"2,31",9,"6,92",28,"21,54",0,0,15,"11,54",9,"6,92",7,"5,38",0,"0",3,"2,31",9,"6,92",23,"17,69",0,0,3,"2,31",9,"6,92",6,"4,62",0,"0",3,"2,31",9,"6,92",27,"20,77",0,"0",0,"0",2,"3,17",0,0,0,"0",4,"6,35",3,"4,76",0,0,1,"1,59",4,"6,35",1,"1,59",0,"0",0,"0",4,"6,35",2,"3,17",0,0,0,"0",4,"6,35",1,"1,59",0,"0",0,"0",4,"6,35",1,"1,59",0,"0",-34.629009,-71.372673,"-34.629009,-71.372673",3,4,1,0,0,2,4,3,6,5,1,"BARREALES","SANTA CRUZ","COLCHAGUA",771,"SALIDA DE SANTA CRUZ HACIA PICHILEMU POR RUTA BARREALES"
